company_name,county,sector,bord_bia_gold_2025,website,group
Flahavan's,Waterford,Food,TRUE,https://www.flahavans.ie,Verified
Glenisk,Offaly,Dairy,TRUE,https://www.glenisk.com,Verified
Ballymaloe Foods,Cork,Food,TRUE,https://www.ballymaloefoods.ie,Verified
Keelings,Dublin,Horticulture,TRUE,https://www.keelings.com,Verified
Folláin,Cork,Food,TRUE,https://www.follain.ie,Verified
Glenilen Farm,Cork,Dairy,TRUE,https://www.glenilenfarm.com,Verified
Killowen Farm,Wexford,Dairy,TRUE,https://www.killowenfarm.ie,Verified
Sofrimar,Wexford,Seafood,TRUE,https://www.sofrimar.ie,Verified
Regan Organic Produce,Wexford,Horticulture,TRUE,https://www.reganorganic.ie,Verified
Kilbeggan Organic Foods,Westmeath,Food,TRUE,https://www.kilbegganorganic.ie,Verified
Connemara Organic Seaweeds,Galway,Seafood,TRUE,https://www.connemaraorganicseaweed.ie,Verified
Builin Blasta,Galway,Bakery,TRUE,https://www.builinblasta.ie,Verified
Durrus Cheese,Cork,Dairy,TRUE,https://www.durruscheese.com,Verified
Clonakilty Food Co,Cork,Food,TRUE,https://www.clonakilty.ie,Verified
Country Crest,Dublin,Horticulture,TRUE,https://www.countrycrest.ie,Verified
Carbery,Cork,Dairy,TRUE,https://www.carbery.com,Verified
Bread 41,Dublin,Bakery,FALSE,https://www.bread41.ie,Not Verified
Cloud Picker Coffee,Dublin,Beverage,FALSE,https://www.cloudpickercoffee.ie,Not Verified
Cream of the Crop,Dublin,Food,FALSE,https://www.creamofthecrop.ie,Not Verified
The Naked Collective,Dublin,Beverage,FALSE,https://www.thenakedcollective.ie,Not Verified
Coffeeangel,Dublin,Beverage,FALSE,https://www.coffeeangel.com,Not Verified
The Happy Pear,Wicklow,Food,FALSE,https://thehappypear.ie,Not Verified
Fiid,Dublin,Food,FALSE,https://www.fiid.ie,Not Verified
Wilde Irish Chocolates,Galway,Food,FALSE,https://www.wildeirishchocolates.com,Not Verified
Ballycotton Seafood,Cork,Seafood,FALSE,https://www.ballycottonseafood.ie,Not Verified
GIY Ireland,Waterford,Food,FALSE,https://www.giy.ie,Not Verified
